Drug 0
        IC50  Label
0   0.514826      0
1   1.805872      0
2   2.203266      0
3   2.217098      0
4   2.307464      0
5   2.477620      0
6   2.523865      0
7   2.831046      0
8   3.104154      0
9   3.128565      0
10  3.264108      0
11  3.310774      0
12  3.445317      0
13  3.445965      0
14  3.484741      0
15  3.546650      0
16  3.649876      0
17  3.807214      1
18  3.854592      1
19  3.926671      1
20  4.004764      1
21  4.079344      1
22  4.081150      1
23  4.124367      1
24  4.252357      1
25  4.307147      1
26  4.309470      1
27  4.398449      1
28  4.466841      1
29  4.467157      1
30  4.502840      1
31  4.739870      1
32  4.749104      1
33  4.751168      1
34  4.852904      1
35  5.023082      1
36  5.120244      1
37  5.143514      1
38  5.206092      1
39  5.282279      1
40  5.421339      1
41  5.536560      1
42  5.874036      1
Drug 1
        IC50  Label
0   2.567768      0
1   2.778277      0
2   2.785770      0
3   2.849556      0
4   3.113664      0
5   3.136524      0
6   3.294152      0
7   3.326798      0
8   3.374528      0
9   3.671848      0
10  3.742945      0
11  3.788854      0
12  3.992214      0
13  4.027173      0
14  4.041953      0
15  4.051331      0
16  4.167677      0
17  4.213611      0
18  4.226195      0
19  4.235209      0
20  4.350795      0
21  4.400231      0
22  4.479637      0
23  4.508573      0
24  4.683752      1
25  4.763337      1
26  4.827939      1
27  4.940371      1
28  5.208619      1
29  5.322748      1
30  5.385523      1
31  5.385805      1
32  5.409258      1
33  5.425187      1
34  5.432640      1
35  5.521610      1
36  5.577659      1
37  5.721273      1
38  5.795632      1
39  5.804281      1
40  5.918941      1
41  6.146787      1
42  6.748859      1
Drug 2
        IC50  Label
0   0.815787      0
1   1.237557      0
2   1.415561      0
3   1.585841      0
4   1.591160      0
5   1.669206      0
6   1.831072      0
7   1.855697      0
8   1.964853      0
9   1.967771      0
10  2.132497      0
11  2.137029      0
12  2.263693      0
13  2.355445      0
14  2.392830      0
15  2.399835      0
16  2.404988      0
17  2.444350      0
18  2.453153      0
19  2.488727      0
20  2.502977      0
21  2.513798      0
22  2.533736      0
23  2.559375      0
24  2.598053      0
25  2.601861      0
26  2.619128      0
27  2.692994      0
28  2.696403      0
29  2.761228      0
30  2.835293      0
31  2.865817      0
32  3.058476      0
33  3.071963      0
34  3.280163      0
35  3.420117      0
36  4.014095      1
37  4.340351      1
38  4.382642      1
39  4.741604      1
40  5.133508      1
41  5.656698      1
42  5.665262      1
Drug 3
        IC50  Label
0   1.469439      0
1   1.555763      0
2   1.608832      0
3   2.334016      0
4   2.526229      0
5   2.571750      0
6   2.761855      0
7   2.808349      0
8   2.820095      0
9   2.919517      0
10  3.003501      0
11  3.019747      0
12  3.038119      0
13  3.102062      0
14  3.146357      0
15  3.225724      0
16  3.260641      0
17  3.272023      0
18  3.300083      0
19  3.301050      0
20  3.360024      0
21  3.361386      0
22  3.586976      0
